id,speed,rpm,date
1,316,11220,2023-09-03 13:00:00
2,317,11236,2023-09-03 13:00:00
3,318,11269,2023-09-03 13:00:00
4,318,11298,2023-09-03 13:00:00
5,318,11327,2023-09-03 13:00:00
6,319,11356,2023-09-03 13:00:00
7,320,11402,2023-09-03 13:00:00
8,320,11418,2023-09-03 13:00:00
9,321,11435,2023-09-03 13:00:01
10,322,11452,2023-09-03 13:00:01
11,322,11449,2023-09-03 13:00:01
12,323,11447,2023-09-03 13:00:01
13,323,11521,2023-09-03 13:00:01
14,324,11595,2023-09-03 13:00:01
15,325,11597,2023-09-03 13:00:01
16,327,11599,2023-09-03 13:00:01
17,327,11624,2023-09-03 13:00:01
18,328,11650,2023-09-03 13:00:02
19,328,11677,2023-09-03 13:00:02
20,329,11704,2023-09-03 13:00:02
21,330,11731,2023-09-03 13:00:02
22,331,11752,2023-09-03 13:00:02
23,332,11774,2023-09-03 13:00:02
24,332,11834,2023-09-03 13:00:02
25,333,11895,2023-09-03 13:00:03
26,333,11895,2023-09-03 13:00:03
27,334,11895,2023-09-03 13:00:03
28,336,11895,2023-09-03 13:00:03
29,336,11932,2023-09-03 13:00:03
30,337,11970,2023-09-03 13:00:03
31,337,11970,2023-09-03 13:00:03
32,337,11970,2023-09-03 13:00:04
33,338,11970,2023-09-03 13:00:04
34,338,12018,2023-09-03 13:00:04
35,339,12049,2023-09-03 13:00:04
36,340,12080,2023-09-03 13:00:04
37,340,12095,2023-09-03 13:00:04
38,340,12110,2023-09-03 13:00:04
39,340,12118,2023-09-03 13:00:04
40,341,12127,2023-09-03 13:00:05
41,341,12133,2023-09-03 13:00:05
42,342,12140,2023-09-03 13:00:05
43,342,12131,2023-09-03 13:00:05
44,342,12123,2023-09-03 13:00:05
45,343,12179,2023-09-03 13:00:05
46,342,12183,2023-09-03 13:00:05
47,342,12188,2023-09-03 13:00:05
48,342,12178,2023-09-03 13:00:06
49,343,12168,2023-09-03 13:00:06
50,343,12182,2023-09-03 13:00:06
51,344,12197,2023-09-03 13:00:06
52,344,12209,2023-09-03 13:00:06
53,344,12222,2023-09-03 13:00:06
54,344,12243,2023-09-03 13:00:06
55,344,12264,2023-09-03 13:00:06
56,344,12248,2023-09-03 13:00:07
57,345,12233,2023-09-03 13:00:07
58,345,12244,2023-09-03 13:00:07
59,345,12255,2023-09-03 13:00:07
60,345,12266,2023-09-03 13:00:07
61,345,12233,2023-09-03 13:00:07
62,346,12200,2023-09-03 13:00:07
63,344,12184,2023-09-03 13:00:08
64,342,12168,2023-09-03 13:00:08
